Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Rv1816	Rv1816	885340	P9WMC9	RVBD_1816	HTH-type transcriptional regulator	Global regulator
Rv1817	Rv1817	885548	Q50616	RVBD_1817	flavoprotein	Basal machinery
Rv1823	Rv1823	885547	P9WFG1	RVBD_1823	hypothetical protein	Basal machinery
Rv1824	Rv1824	885719	P9WLR7	RVBD_1824	hypothetical protein	Basal machinery
Rv1825	Rv1825	885726	P9WFG3	RVBD_1825	hypothetical protein	Basal machinery
Rv1828	Rv1828	885336	P9WME7	RVBD_1828	HTH-type transcriptional regulator	M19
Rv1829	Rv1829	885743	P9WLR5	RVBD_1829	hypothetical protein	Basal machinery
Rv1830	Rv1830	885740	P9WME5	RVBD_1830	HTH-type transcriptional regulator	Basal machinery
Rv1834	Rv1834	888761	P9WLR1	lipZ,RVBD_1834	hydrolase	Basal machinery
Rv1835c	Rv1835c	885877	P9WIQ9	RVBD_1835c	serine esterase	Basal machinery
Rv1836c	Rv1836c	885707	P9WLQ9	RVBD_1836c	hypothetical protein	Basal machinery
Rv1841c	Rv1841c	885656	P9WLQ7	RVBD_1841c	hypothetical protein	Basal machinery
Rv1842c	Rv1842c	885739	P9WFP3	RVBD_1842c	hypothetical protein	Basal machinery
Rv1847	Rv1847	885734	P9WIM3	RVBD_1847	esterase	M1.1
Rv1856c	Rv1856c	885708	P9WGQ1	RVBD_1856c	oxidoreductase	Basal machinery
Rv1861	Rv1861	885741	P95154	RVBD_1861	transmembrane protein	Basal machinery
Rv1863c	Rv1863c	885722	P95152	RVBD_1863c	integral membrane protein	Basal machinery
Rv1864c	Rv1864c	885800	P95151	RVBD_1864c	hypothetical protein	Basal machinery
Rv1865c	Rv1865c	885806	P95150	RVBD_1865c	short-chain type dehydrogenase	Basal machinery
Rv1868	Rv1868	885757	P95147	RVBD_1868	hypothetical protein	Basal machinery
Rv1869c	Rv1869c	885796	P95146	RVBD_1869c	reductase	Basal machinery
Rv1870c	Rv1870c	885797	P95145	RVBD_1870c	hypothetical protein	Intermodular
Rv1871c	Rv1871c	885804	P95144	RVBD_1871c	hypothetical protein	Basal machinery
Rv1873	Rv1873	885789	O07756	RVBD_1873	hypothetical protein	Basal machinery
Rv1874	Rv1874	885748	O07755	RVBD_1874	hypothetical protein	Basal machinery
Rv1875	Rv1875	885793	O07754	RVBD_1875	hypothetical protein	M1.1
Rv1879	Rv1879	885650	O07751	RVBD_1879	hypothetical protein	Basal machinery
